epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,929.254,1.521,2.19358,1.52665,0.77719,0.76208,0.83137,0.45621,1.55529,1.98797,1.43094,0.000413712,0.000413712,0.000413712
2,1840.54,1.44995,1.45278,1.3861,0.8082,0.78529,0.86285,0.41773,1.66697,1.66853,1.57991,0.000813937,0.000813937,0.000813937
3,2748.02,1.42018,1.23085,1.35264,0.86119,0.81112,0.87761,0.49581,1.41646,1.28386,1.35833,0.00119766,0.00119766,0.00119766
4,3680.4,1.40366,1.09712,1.34284,0.88281,0.88388,0.92329,0.55937,1.3823,1.00163,1.28615,0.00117575,0.00117575,0.00117575
5,4609.57,1.38962,1.00904,1.32441,0.88439,0.8059,0.89394,0.52314,1.41776,1.00723,1.31294,0.001151,0.001151,0.001151
6,5515.21,1.36677,0.93659,1.30798,0.93393,0.90128,0.92536,0.58076,1.38353,0.84884,1.33038,0.00112625,0.00112625,0.00112625
7,6411.86,1.33991,0.89815,1.27977,0.95322,0.88788,0.94368,0.59743,1.32888,0.81668,1.25572,0.0011015,0.0011015,0.0011015
8,7294.92,1.30254,0.83376,1.2754,0.96129,0.87042,0.93802,0.6055,1.29372,0.79964,1.229,0.00107675,0.00107675,0.00107675
9,8213.36,1.29953,0.81151,1.26816,0.94052,0.89003,0.9415,0.59245,1.38052,0.78947,1.25045,0.001052,0.001052,0.001052
10,9129.19,1.2852,0.79283,1.2497,0.9614,0.8974,0.95329,0.64975,1.27415,0.67732,1.20063,0.00102725,0.00102725,0.00102725
11,10097.2,1.25853,0.74748,1.23471,0.97032,0.92979,0.96504,0.62616,1.3679,0.64692,1.25335,0.0010025,0.0010025,0.0010025
12,11052.8,1.26862,0.75272,1.23752,0.97055,0.93244,0.96557,0.63785,1.26685,0.6285,1.17966,0.00097775,0.00097775,0.00097775
13,11946.5,1.22481,0.70539,1.20533,0.92961,0.9146,0.9566,0.63942,1.26951,0.64546,1.20415,0.000953,0.000953,0.000953
14,12890.2,1.22884,0.69843,1.21174,0.97055,0.94082,0.97237,0.6504,1.28825,0.58861,1.18551,0.00092825,0.00092825,0.00092825
15,13810.5,1.22776,0.6992,1.20729,0.95872,0.95758,0.97231,0.65617,1.22234,0.59984,1.16431,0.0009035,0.0009035,0.0009035
16,14724.1,1.1923,0.66633,1.19551,0.95993,0.94006,0.97188,0.65993,1.27791,0.57491,1.18419,0.00087875,0.00087875,0.00087875
17,15646.9,1.18443,0.65782,1.19386,0.96222,0.9238,0.95611,0.64492,1.32975,0.61819,1.19549,0.000854,0.000854,0.000854
18,16579,1.20623,0.6701,1.21272,0.95756,0.92249,0.95617,0.66037,1.20919,0.58199,1.13919,0.00082925,0.00082925,0.00082925
19,17506.1,1.16671,0.64848,1.17525,0.93672,0.9563,0.97102,0.66471,1.25708,0.5694,1.16601,0.0008045,0.0008045,0.0008045
20,18419.9,1.15738,0.63446,1.16904,0.96118,0.92262,0.97302,0.67599,1.24053,0.56052,1.15959,0.00077975,0.00077975,0.00077975
21,19348.4,1.14615,0.62313,1.16737,0.96857,0.94551,0.96997,0.65578,1.24629,0.56232,1.16914,0.000755,0.000755,0.000755
22,20295.5,1.14475,0.62853,1.1581,0.94274,0.90038,0.95058,0.66879,1.19245,0.58761,1.13795,0.00073025,0.00073025,0.00073025
23,21221.8,1.1225,0.61287,1.15473,0.95961,0.96717,0.98019,0.68337,1.2254,0.54492,1.15493,0.0007055,0.0007055,0.0007055
24,22139.6,1.12592,0.6001,1.15397,0.97071,0.95244,0.97099,0.67853,1.19295,0.52372,1.13239,0.00068075,0.00068075,0.00068075
25,23088.8,1.10769,0.59132,1.14757,0.97983,0.9281,0.97562,0.69924,1.20984,0.52133,1.13385,0.000656,0.000656,0.000656
26,24032.6,1.09261,0.58126,1.13774,0.96805,0.95606,0.97697,0.68023,1.20344,0.52825,1.14373,0.00063125,0.00063125,0.00063125
27,24961,1.08976,0.57218,1.13637,0.96605,0.94838,0.97521,0.69604,1.16625,0.50977,1.11149,0.0006065,0.0006065,0.0006065
28,25891,1.07721,0.56958,1.13137,0.97254,0.9513,0.97544,0.69565,1.18302,0.50208,1.12612,0.00058175,0.00058175,0.00058175
29,26826.5,1.07133,0.55406,1.13358,0.96099,0.97002,0.97813,0.67978,1.22054,0.50504,1.12171,0.000557,0.000557,0.000557
30,27760.8,1.0707,0.54895,1.11919,0.88173,0.90496,0.96826,0.69229,1.16008,0.55938,1.11742,0.00053225,0.00053225,0.00053225
31,28678.7,1.04985,0.54631,1.11976,0.96715,0.96845,0.97899,0.70436,1.16384,0.48062,1.10738,0.0005075,0.0005075,0.0005075
32,29596.8,1.03861,0.54622,1.11304,0.96993,0.95509,0.98109,0.70355,1.14148,0.48712,1.09477,0.00048275,0.00048275,0.00048275
33,30524.7,1.03429,0.53528,1.10922,0.96,0.95819,0.9761,0.68028,1.20486,0.49519,1.13518,0.000458,0.000458,0.000458
34,31452.3,1.02726,0.5245,1.10286,0.98144,0.93247,0.97685,0.70566,1.19786,0.49771,1.13128,0.00043325,0.00043325,0.00043325
